id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73282,"Clean, central, quiet",377532,Simona,Kreis 3,Sihlfeld,47.37374,8.51957,Entire home/apt,100,1125,49,2019-04-27,0.39,1,358,0,
86645,Stadium Letzigrund - by Airhome,475053,James,Kreis 3,Sihlfeld,47.38038,8.50461,Entire home/apt,184,1,50,2021-07-16,0.36,17,0,0,
143821,marvelous LOFT in SIHLCITY Zürich,697307,Erhan,Kreis 3,Alt-Wiedikon,47.35724,8.52304,Entire home/apt,200,3,0,,,1,145,0,
178448,"a lovely place, top location",854016,Delphine,Kreis 2,Enge,47.36565,8.52753,Private room,60,5,9,2016-05-10,0.07,1,221,0,
204586,very nice luxury city apartment,1004816,Aicha,Kreis 10,Höngg,47.40656,8.48465,Private room,200,3,0,,,1,364,0,
222565,Bedroom overlooking the lake near,1155866,Ysabel,Kreis 2,Wollishofen,47.33463,8.54117,Private room,69,2,227,2022-08-19,1.71,1,208,5,
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,Entire home/apt,650,4,30,2022-07-30,0.23,1,177,2,
251204,Lovely apartment in the middle of trendy Wipkingen,1224284,Urban,Kreis 10,Wipkingen,47.39282,8.52685,Entire home/apt,156,5,0,,,1,6,0,
272841,"room with balcony, city centre",1427927,Anja,Kreis 5,Gewerbeschule,47.38326,8.52718,Private room,72,1,334,2022-09-03,2.53,1,310,39,
283737,Best Location in Zurich Oldtown,1477771,Nuria,Kreis 1,Rathaus,47.37284,8.54324,Entire home/apt,159,4,293,2022-09-04,2.26,2,195,33,
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,Anil,Kreis 3,Sihlfeld,47.37896,8.50787,Entire home/apt,210,5,10,2021-10-10,0.17,1,20,1,
310964,Large Apartment - Center of Zurich,1266114,Kim,Kreis 1,Hochschulen,47.36802,8.54813,Entire home/apt,360,7,13,2019-01-06,0.11,1,176,0,
420869,Zürich - we like it!,2093123,Mike,Kreis 9,Altstetten,47.39185,8.48432,Private room,52,2,95,2020-03-06,0.75,1,0,0,
551321,Zürich Charming Business/Holiday,2709967,Stephanie,Kreis 3,Alt-Wiedikon,47.37008,8.51368,Entire home/apt,115,2,22,2018-02-08,0.18,1,43,0,
577683,Modern & Spacious Garden-Suite in Zurich,1240329,Claudio,Kreis 10,Höngg,47.40419,8.49593,Entire home/apt,210,5,7,2021-07-03,0.06,1,285,0,
606954,Big and quiet bedroom in green area!,2659673,Esther,Kreis 3,Sihlfeld,47.36867,8.49841,Private room,50,2,4,2020-03-10,0.04,1,0,0,
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,Leandra,Kreis 11,Oerlikon,47.40703,8.55232,Entire home/apt,220,4,108,2022-09-11,0.89,2,303,14,
